Comment,Designator,Footprint,LCSC,Quantity
NCV7805BDTRKG,U4,TO-252-2_L6.6-W6.1-P4.58-LS9.9-TL,C233417,1
K776180WR-2,P1,CONN-TH_35P-P4.00_K776180WR-2,C5138065,1
MCP2562-E-SN,U1,SOIC-8_3.9x4.9mm_P1.27mm,C53609,1
NCV8705MW33TCG,U5,VDFN-8_L3.0-W3.0-P0.65-BL-EP,C893281,1
2k7,R71,R_0603_1608Metric,,1
2k7,R70,R_0603_1608Metric,,1
2k7,R69,R_0603_1608Metric,,1
2k7,R68,R_0603_1608Metric,,1
33k,R39,R_0603_1608Metric,,1
6k8,R44,R_0603_1608Metric,,1
10k,R9,R_0603_1608Metric,,1
6k8,R16,R_0603_1608Metric,,1
10k,R7,R_0603_1608Metric,,1
33k,R15,R_0603_1608Metric,,1
1uF,C4,C_0603_1608Metric,,1
10k,R62,R_0603_1608Metric,,1
IRLML6402,Q18,SOT-23,,1
IRLML6402,Q10,SOT-23,,1
10k,R8,R_0603_1608Metric,,1
10k,R31,R_0603_1608Metric,,1
33k,R37,R_0603_1608Metric,,1
IRLML6402,Q4,SOT-23,,1
33k,R41,R_0603_1608Metric,,1
0.33uF,C3,C_0603_1608Metric,,1
100R,R19,R_0603_1608Metric,,1
100R,R20,R_0603_1608Metric,,1
1uF,C5,C_0603_1608Metric,,1
~,U3,PinSocket_1x22_P2.54mm_Vertical,,1
6k8,R34,R_0603_1608Metric,,1
10k,R59,R_0603_1608Metric,,1
BC817,Q11,SOT-23,,1
100R,R24,R_0603_1608Metric,,1
100R,R1,R_0603_1608Metric,,1
6k8,R46,R_0603_1608Metric,,1
10k,R17,R_0603_1608Metric,,1
33k,R35,R_0603_1608Metric,,1
33k,R55,R_0603_1608Metric,,1
IRLML6402,Q6,SOT-23,,1
10k,R60,R_0603_1608Metric,,1
120R,R63,R_0603_1608Metric,,1
10k,R32,R_0603_1608Metric,,1
IRLML6402,Q24,SOT-23,,1
100R,R22,R_0603_1608Metric,,1
IRLML6402,Q12,SOT-23,,1
10k,R6,R_0603_1608Metric,,1
6k8,R36,R_0603_1608Metric,,1
~,U2,PinSocket_1x22_P2.54mm_Vertical,,1
6k8,R13,R_0603_1608Metric,,1
33k,R49,R_0603_1608Metric,,1
10k,R61,R_0603_1608Metric,,1
6k8,R38,R_0603_1608Metric,,1
33k,R45,R_0603_1608Metric,,1
BC817,Q13,SOT-23,,1
10k,R65,R_0603_1608Metric,,1
100R,R28,R_0603_1608Metric,,1
33k,R33,R_0603_1608Metric,,1
IRLML6402,Q8,SOT-23,,1
10k,R67,R_0603_1608Metric,,1
BC817,Q19,SOT-23,,1
BC817,Q5,SOT-23,,1
IRLML6402,Q16,SOT-23,,1
10k,R64,R_0603_1608Metric,,1
BC817,Q9,SOT-23,,1
Jumper_2_Open,JP1,SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm,,1
10k,R3,R_0603_1608Metric,,1
6k8,R42,R_0603_1608Metric,,1
100R,R25,R_0603_1608Metric,,1
10k,R2,R_0603_1608Metric,,1
6k8,R48,R_0603_1608Metric,,1
BC817,Q15,SOT-23,,1
33k,R43,R_0603_1608Metric,,1
33k,R53,R_0603_1608Metric,,1
BC817,Q7,SOT-23,,1
33k,R47,R_0603_1608Metric,,1
10k,R66,R_0603_1608Metric,,1
6k8,R52,R_0603_1608Metric,,1
10k,R11,R_0603_1608Metric,,1
10k,R4,R_0603_1608Metric,,1
BC817,Q1,SOT-23,,1
10k,R30,R_0603_1608Metric,,1
IRLML6402,Q20,SOT-23,,1
6k8,R56,R_0603_1608Metric,,1
IRLML6402,Q22,SOT-23,,1
BC817,Q17,SOT-23,,1
100R,R23,R_0603_1608Metric,,1
6k8,R58,R_0603_1608Metric,,1
10k,R5,R_0603_1608Metric,,1
10k,R10,R_0603_1608Metric,,1
0.1uF,C2,C_0603_1608Metric,,1
100R,R27,R_0603_1608Metric,,1
100R,R18,R_0603_1608Metric,,1
100R,R26,R_0603_1608Metric,,1
0.1uF,C1,C_0603_1608Metric,,1
33k,R51,R_0603_1608Metric,,1
BC817,Q23,SOT-23,,1
IRLML6402,Q14,SOT-23,,1
6k8,R50,R_0603_1608Metric,,1
10k,R29,R_0603_1608Metric,,1
BC817,Q21,SOT-23,,1
BC817,Q3,SOT-23,,1
33k,R57,R_0603_1608Metric,,1
6k8,R54,R_0603_1608Metric,,1
6k8,R40,R_0603_1608Metric,,1
IRLML6402,Q2,SOT-23,,1
100R,R21,R_0603_1608Metric,,1
33k,R14,R_0603_1608Metric,,1
10k,R12,R_0603_1608Metric,,1
Conn_I2C,J2,PinHeader_1x04_P2.54mm_Vertical,,1
Conn_DEBUG,J1,PinHeader_1x04_P2.54mm_Vertical,,1
